Year,Movie Title
2001,Laughter on the 23rd Floor
2001,Lagaan
2001,Legally Blonde
2001,Life as a House
2001,Lloyd 
2001,The Lord of the Rings: The Fellowship of the Ring
2001,The Lost Skeleton of Cadavra
2001,Lovely & Amazing
2001,The Luck of the Irish 
2001,The Majestic 
2001,The Man from Elysian Fields
2001,The Man Who Wasn't There 
2001,Max Keeble's Big Move
2001,Megiddo: The Omega Code 2
2001,The Mexican
2001,Mockingbird Don't Sing
2001,Monkeybone
2001,Monsoon Wedding
2001,Monster's Ball
2001,"Monsters, Inc."
2001,A Month of Sundays 
2001,Moulin Rouge!
2001,Mulholland Drive 
2001,The Mummy Returns
2001,Murder on a Sunday Morning
2001,The Musketeer
2001,My Big Break
2001,My Big Fat Greek Wedding
2001,My First Mister
2001,Not Another Teen Movie
2001,Novocaine 
2001,O 
2001,Ocean's Eleven 
2001,On the Line 
2001,The One 
2001,One Night at McCool's
2001,Original Sin 
2001,Osmosis Jones
2001,The Others 
2001,Out Cold 
2001,Out of the Black  (page does not exist)
2001,Pearl Harbor 
2001,Perfume 
2001,Piñero
2001,Planet of the Apes 
2001,The Pledge 
2001,Pootie Tang
2001,Prancer Returns
2001,The Princess Diaries 
2001,Rat Race 
2001,Recess: School's Out
2001,Revolution OS
2001,Riding in Cars with Boys
2001,Rock Star 
2001,The Royal Tenenbaums
2001,Rush Hour 2
2001,The Safety of Objects
2001,Save the Last Dance
2001,Saving Silverman
2001,Say It Isn't So 
2001,Scary Movie 2
2001,The Score 
2001,"Scotland, PA"
2001,Scratch 
2001,See Spot Run
2001,Serendipity 
2001,Session 9
2001,Shallow Hal
2001,She Creature
2001,The Shipping News 
2001,Shrek
2001,The Shrink Is In
2001,Sidewalks of New York 
2001,Someone Like You 
2001,Soul Survivors 
2001,Southern Comfort 
2001,Southlander
2001,Spy Game
2001,Spy Kids 
2001,Storytelling 
2001,Sugar & Spice
2001,Summer Catch
2001,Super Troopers
2001,Sweet November 
2001,Swordfish 
2001,The Tailor of Panama
2001,Tape 
2001,Thirteen Conversations About One Thing
2001,Thirteen Ghosts
2001,To End All Wars
2001,Tomcats 
